DATE,PCEDG
1/1/2016,1321.1
2/1/2016,1342.4
3/1/2016,1329.4
4/1/2016,1331.5
5/1/2016,1335.4
6/1/2016,1353.1
7/1/2016,1358.2
8/1/2016,1358.1
9/1/2016,1366.2
10/1/2016,1370
11/1/2016,1351.8
12/1/2016,1385.6
1/1/2017,1383.2
2/1/2017,1384
3/1/2017,1382.4
4/1/2017,1390.1
5/1/2017,1390.2
6/1/2017,1401.7
7/1/2017,1406.9
8/1/2017,1400.1
9/1/2017,1431.9
10/1/2017,1440.5
11/1/2017,1454.6
12/1/2017,1462.6
1/1/2018,1458.3
2/1/2018,1459.6
3/1/2018,1467.4
4/1/2018,1477.6
5/1/2018,1489.4
6/1/2018,1480.7
7/1/2018,1486.3
8/1/2018,1492.8
9/1/2018,1487.1
10/1/2018,1496.8
11/1/2018,1519.7
12/1/2018,1463
1/1/2019,1489.3
2/1/2019,1476.9
3/1/2019,1517.2
4/1/2019,1520.5
5/1/2019,1539.6
6/1/2019,1547.8
7/1/2019,1546.7
8/1/2019,1550.8
9/1/2019,1561
10/1/2019,1552.2
11/1/2019,1555.8
12/1/2019,1554.3
1/1/2020,1567.9
2/1/2020,1552.5
3/1/2020,1369
4/1/2020,1199.6
5/1/2020,1548.7
6/1/2020,1686.6
7/1/2020,1724.5
8/1/2020,1759.8
9/1/2020,1774.6
10/1/2020,1788.7
11/1/2020,1747.6
12/1/2020,1707.9
1/1/2021,1910.5
2/1/2021,1820.3
